epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1582.53,1.18077,2.69749,1.39146,0.57521,0.17321,0.22222,0.15892,1.23216,3.04395,1.36165,4.6176e-05,4.6176e-05,4.6176e-05
42,1608.65,1.17491,2.62671,1.35102,0.57521,0.17321,0.22222,0.15892,1.23216,3.04395,1.36165,4.17804e-05,4.17804e-05,4.17804e-05
43,1633.99,1.15231,2.57403,1.32376,0.57521,0.17321,0.22222,0.15892,1.23216,3.04395,1.36165,3.73848e-05,3.73848e-05,3.73848e-05
44,1659.98,1.13474,2.65164,1.36476,0.72321,0.16126,0.20526,0.14064,1.22886,2.84094,1.34924,3.29892e-05,3.29892e-05,3.29892e-05
45,1687.1,1.14023,2.66397,1.37241,0.72321,0.16126,0.20526,0.14064,1.22886,2.84094,1.34924,2.85936e-05,2.85936e-05,2.85936e-05
46,1712.9,1.04818,2.43081,1.23962,0.60525,0.17272,0.2303,0.14902,1.21831,2.79079,1.33544,2.4198e-05,2.4198e-05,2.4198e-05
47,1739.06,1.0854,2.54163,1.32918,0.60525,0.17272,0.2303,0.14902,1.21831,2.79079,1.33544,1.98024e-05,1.98024e-05,1.98024e-05
48,1769.78,1.15522,2.58842,1.33473,0.60525,0.17272,0.2303,0.14902,1.21831,2.79079,1.33544,1.54068e-05,1.54068e-05,1.54068e-05
49,1799.32,1.0766,2.41332,1.24797,0.59427,0.18243,0.18883,0.126,1.23903,2.77135,1.35706,1.10112e-05,1.10112e-05,1.10112e-05
50,1826.58,1.11938,2.77159,1.32549,0.59427,0.18243,0.18883,0.126,1.23903,2.77135,1.35706,6.6156e-06,6.6156e-06,6.6156e-06
